Start,End
1,2
1,3
1,4
1,5
2,6
2,7
2,8
3,9
3,10
3,11
4,12
4,13
4,14
4,15
5,16
5,17
5,18
6,19
6,20
7,21
7,22
8,23
8,24
8,25
8,26
8,27
12,28
13,29
16,30
16,31
16,32
16,33
17,34
17,35
17,36
17,37
18,38
18,39
18,40
18,41
19,42
19,43
19,44
19,45
20,46
20,47
31,48
31,49
31,50
31,51
35,52
35,53
35,54
35,55
39,56
39,57
39,58
