Start,End
1,2
1,3
1,4
1,5
1,6
2,7
2,8
3,9
3,10
3,11
3,12
4,13
4,14
4,15
5,16
5,17
6,18
6,19
6,20
7,21
7,22
7,23
8,24
8,25
8,26
8,27
9,28
9,29
9,30
9,31
15,32
15,33
15,34
24,35
24,36
24,37
24,38
