Start,End
1,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
3,11
3,12
3,13
4,14
4,15
4,16
4,17
5,18
5,19
5,20
14,21
14,22
14,23
15,24
15,25
15,26
16,27
16,28
17,29
17,30
17,31
22,32
22,33
23,34
23,35
25,36
25,37
25,38
29,39
29,40
29,41
30,42
30,43
30,44
31,45
31,46
31,47
41,48
41,49
44,50
44,51
46,52
46,53
46,54
46,55
47,56
47,57
47,58
47,59
